"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","League of Legends","4840759200","71765760","433005","2635","118593","108585","1609","67.45",""
"2","","Hearthstone","2968496700","13934820","154779","615","36024","66588","312","213.03",""
"3","","Dota 2","2808963900","18613860","321688","778","31165","63009","417","150.91",""
"4","","Counter-Strike: Global Offensive","2692975620","39811680","347527","1856","101483","60407","893","67.64",""
"5","","Overwatch","1325883000","50064120","302141","9741","140615","29741","1123","26.48",""
"6","","Call of Duty: Black Ops III","715299660","61653960","75069","2986","187445","16045","1382","11.6",""
"7","","World of Warcraft","511936980","16647000","57379","1008","29295","11483","373","30.75",""
"8","","Dark Souls III","446171580","23586720","35278","1576","60299","10008","529","18.92",""
"9","","Minecraft","410918340","24420480","41069","1215","77629","9217","547","16.83",""
"10","","RuneScape","356924520","4990260","48463","183","8633","8006","111","71.52",""
"11","","Talk Shows & Podcasts","320183520","2818680","64255","166","11569","7182","63","113.59",""
"12","","FIFA 16","318084780","10209060","56085","574","39893","7135","229","31.16",""
"13","","World of Tanks","314672160","7255320","28415","325","13703","7058","162","43.37",""
"14","","Destiny","299000460","30474060","22235","1652","58174","6707","683","9.81",""
"15","","Uncharted 4: A Thief's End","273363960","8455620","102374","739","39491","6131","189","32.33",""
"16","","Poker","263418960","2250240","33131","116","2504","5908","50","117.06",""
"17","","Z1: Battle Royale","262996320","6718560","51081","311","11459","5899","150","39.14",""
"18","","StarCraft II","260744460","3120780","47219","130","5125","5848","70","83.55",""
"19","","DOOM","259239600","11485260","93713","1704","41026","5815","257","22.57",""
"20","","Tom Clancy's The Division","248945400","17538120","21117","846","39857","5584","393","14.19",""
"21","","DayZ","246546960","3865260","41315","199","6866","5530","86","63.79",""
"22","","Creative","243915840","9195720","27277","341","19652","5471","206","26.52",""
"23","","Arma 3","198770400","5538540","40896","312","9159","4458","124","35.89",""
"24","","NBA 2K16","192034740","11419740","22195","641","36682","4307","256","16.82",""
"25","","Diablo III","190200120","8301900","17247","600","16427","4266","186","22.91",""
"26","","Total War: Warhammer","188559000","1680360","40915","418","3617","4229","37","112.21",""
