"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Fortnite","7590159360","612303480","649136","56274","1013016","170259","13734","12.4",""
"2","","League of Legends","5938570260","134722740","400257","6079","197058","133211","3022","44.08",""
"3","","Just Chatting","3543869220","48220320","184542","1757","134201","79494","1081","73.49",""
"4","","Dota 2","2790743580","32783640","444825","1462","42722","62600","735","85.13",""
"5","","Counter-Strike: Global Offensive","1846697820","63086820","187678","2895","159310","41424","1415","29.27",""
"6","","PUBG: BATTLEGROUNDS","1791124560","74092620","127809","2604","117981","40177","1662","24.17",""
"7","","Hearthstone","1468671360","10364820","92702","365","21526","32944","232","141.7",""
"8","","Overwatch","1349945580","71563560","88234","2784","146158","30281","1605","18.86",""
"9","","FIFA 19","1117081680","21311100","284483","1434","61024","25057","478","52.42",""
"10","","World of Warcraft","1090761720","42216360","156889","3736","49517","24467","946","25.84",""
"11","","Sea of Thieves","1052414100","21383340","125641","1538","39381","23607","479","49.22",""
"12","","Call of Duty: Black Ops 4","1022567280","101376360","92619","4593","166283","22937","2274","10.09",""
"13","","Resident Evil 2","983695020","26959980","314244","6488","70644","22065","604","36.49",""
"14","","Grand Theft Auto V","728572500","24087300","70951","1190","57405","16343","540","30.25",""
"15","","Atlas","726601860","11221920","69614","637","10070","16298","251","64.75",""
"16","","Tom Clancy's Rainbow Six Siege","726258060","55439100","106550","2212","141494","16291","1243","13.1",""
"17","","Dead by Daylight","665673540","29578800","61337","1087","51812","14932","663","22.51",""
"18","","Minecraft","649674780","23904720","61475","1008","60229","14573","536","27.18",""
"19","","Super Smash Bros. Ultimate","596527860","12052020","91878","690","22367","13381","270","49.5",""
"20","","Path of Exile","574546920","13072200","35204","624","15886","12887","293","43.95",""
"21","","Slots","570306840","3447420","60622","128","2636","12792","77","165.43",""
"22","","Escape from Tarkov","508772100","18826920","55460","769","19065","11412","422","27.02",""
"23","","Old School RuneScape","464856060","8293440","41530","332","12002","10427","186","56.05",""
"24","","Magic: The Gathering","414670920","6777000","37326","409","11368","9301","152","61.19",""
