"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"26","","The Elder Scrolls Online","324361260","6805020","48666","331","10854","7275","152","47.66",""
"27","","Mortal Kombat 11","311248740","8285340","71130","640","30189","6981","185","37.57",""
"28","","StarCraft II","295537320","4140960","67168","153","6704","6629","92","71.37",""
"29","","Talk Shows & Podcasts","284010420","4171080","77204","199","11779","6370","93","68.09",""
"30","","Old School RuneScape","280286160","6823200","41884","247","9436","6287","153","41.08",""
"31","","Art","259648680","16555740","17508","584","29376","5824","371","15.68",""
"32","","Sea of Thieves","258074220","12627720","58713","1254","25264","5789","283","20.44",""
"33","","Destiny 2","246279900","18036000","29091","869","31304","5524","404","13.65",""
"34","","Days Gone","233942520","11873760","51296","853","22992","5247","266","19.7",""
"35","","Path of Exile","220080240","7828620","25129","927","10312","4936","175","28.11",""
"36","","Super Smash Bros. Ultimate","194442780","5300160","47739","298","10529","4361","118","36.69",""
"37","","ASMR","184740240","2724360","10608","85","1425","4144","61","67.81",""
"38","","World of Tanks","182534940","7580700","17737","362","9729","4094","170","24.08",""
"39","","RAGE 2","180276360","3986520","102848","887","10513","4043","89","45.22",""
"40","","Final Fantasy XIV Online","173759880","11237760","90785","554","14935","3897","252","15.46",""
"41","","TrackMania 2: Stadium","172060800","694620","96220","71","2068","3859","15","247.7",""
"42","","Diablo III","167474820","9006780","29943","1335","16224","3756","202","18.59",""
"43","","A Plague Tale: Innocence","157966860","3261180","63953","608","7837","3543","73","48.44",""
"44","","Black Desert","157089120","7767300","7286","267","8622","3523","174","20.22",""
"45","","NBA 2K19","156102540","13484940","19956","649","36758","3501","302","11.58",""
"46","","Special Events","146250540","769800","122421","57","2567","3280","17","189.99",""
"47","","Tom Clancy's The Division 2","140341620","8444220","53346","692","22933","3148","189","16.62",""
"48","","Sekiro: Shadows Die Twice","140290200","5660100","27302","286","20473","3146","126","24.79",""
"49","","Dungeons & Dragons","138215580","2352840","65819","196","4033","3100","52","58.74",""
"50","","Games + Demos","137640480","2281440","41501","139","6906","3087","51","60.33",""
"51","","Warcraft III","135025440","2329500","21570","96","2593","3028","52","57.96",""
"52","","Rust","126529860","6165720","16359","334","11248","2838","138","20.52",""
"53","","The Elder Scrolls V: Skyrim","124286160","4334820","17593","177","10643","2787","97","28.67",""
"54","","Tibia","117350760","4598400","6550","196","4267","2632","103","25.52",""
"55","","Street Fighter V","115800540","1637220","39151","70","3205","2597","36","70.73",""
"56","","Heroes of the Storm","115215120","5011200","22708","190","7766","2584","112","22.99",""
"57","","Jump King","108921420","226020","59063","28","1068","2443","5","481.91",""
"58","","SMITE","107847420","7360740","15592","340","14956","2419","165","14.65",""
"59","","Dauntless","102299280","13056540","17232","1487","47213","2294","292","7.84",""
"60","","Chess","101974740","996120","22449","74","1537","2287","22","102.37",""
"61","","Retro","101024280","5588760","7994","205","6466","2266","125","18.08",""
"62","","Tekken 7","98461860","2355000","55676","89","6625","2208","52","41.81",""
"63","","Monster Hunter: World","95990700","7613760","33274","340","21555","2153","170","12.61",""
"64","","My Summer Car","95260800","345420","22938","22","781","2136","7","275.78",""
"65","","Splitgate","91007640","3023160","87050","768","16224","2041","67","30.1",""
"66","","Super Mario Maker","88340400","1043040","11155","116","1094","1981","23","84.7",""
"67","","Lineage II: The Chaotic Throne - The 1st Throne: The Kamael","87518820","2300460","7592","116","1928","1963","51","38.04",""
"68","","Warframe","84076440","7210500","48360","323","13553","1885","161","11.66",""
"69","","Battalion 1944","76799640","1340160","50165","230","4229","1722","30","57.31",""
"70","","Football Manager 2019","76627680","979140","23685","62","1297","1718","21","78.26",""
"71","","Borderlands 2","73466460","4225740","16696","219","12185","1647","94","17.39",""
"72","","Layers of Fear 2","72142800","789360","46426","354","3585","1618","17","91.39",""
"73","","DayZ","71288280","4148940","24481","354","8262","1599","93","17.18",""
"74","","World of Warships","67651920","3199440","6498","163","4552","1517","71","21.14",""
"75","","Travel & Outdoors","67318440","3963600","18914","239","27015","1510","88","16.98",""
"76","","Super Mario 64","64512660","1138080","8927","128","2231","1447","25","56.69",""
"77","","Ark: Survival Evolved","64035720","6780840","5442","278","9688","1436","152","9.44",""
"78","","Marbles On Stream","63741060","1837440","15112","84","4061","1429","41","34.69",""
"79","","Dark Souls","63581520","2022540","26161","98","4336","1426","45","31.44",""
"80","","Borderlands 3","62056440","69120","360940","234","502","1392","1","897.81",""
"81","","Dark Souls III","61713600","4461660","7540","174","11009","1384","100","13.83",""
"82","","VRChat","61058640","3317400","8862","175","5469","1369","74","18.41",""
"83","","osu!","56299860","8474220","11856","350","30462","1262","190","6.64",""
"84","","Science & Technology","55641900","4536540","13876","168","5888","1248","101","12.27",""
"85","","Food & Drink","55239120","871860","13281","36","3575","1239","19","63.36",""
"86","","Twitch Presents","54678720","67020","18641","7","8","1226","1","815.86",""
"87","","StarCraft","54322200","782640","27773","37","1177","1218","17","69.41",""
"88","","XERA: Survival","53007540","667080","28858","148","2155","1189","14","79.46",""
"89","","Twitch Sings","52382280","2503200","14406","149","10390","1175","56","20.93",""
"90","","Anno 1800","52046640","1702260","12330","183","3685","1167","38","30.58",""
"91","","Princess Connect! Re:Dive","51878940","605160","26780","48","786","1163","13","85.73",""
"92","","RimWorld","50685900","1536420","4807","64","2616","1136","34","32.99",""
"93","","Heroes of Might and Magic III: The Shadow of Death","50128560","624060","4330","36","566","1124","13","80.33",""
"94","","Super Smash Bros. Melee","48665460","741060","68276","55","2052","1091","16","65.67",""
"95","","Albion Online","48336360","2973120","3869","144","4535","1084","66","16.26",""
"96","","The Sims 4","48237780","3588600","9742","247","13309","1082","80","13.44",""
"97","","Summoners War: Sky Arena","47761200","976500","4827","49","1045","1071","21","48.91",""
"98","","MLB The Show 19","47254320","1263240","12953","69","6166","1059","28","37.41",""
"99","","NHL 19","47207520","746640","68553","49","3721","1058","16","63.23",""
"100","","The Legend of Zelda: Ocarina of Time","46670280","1767900","17403","119","2339","1046","39","26.4",""
