"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Fortnite","5565007920","347610540","483267","15367","676020","128998","8057","16.01",""
"2","","League of Legends","5349400320","118948980","318559","3915","184010","124000","2757","44.97",""
"3","","Just Chatting","3699830760","54499200","234098","2724","145157","85763","1263","67.89",""
"4","","Grand Theft Auto V","3589945380","42037320","176008","1734","77788","83216","974","85.4",""
"5","","Dota 2","2575753140","26454720","436845","1118","35018","59706","613","97.36",""
"6","","World of Warcraft","1880733660","38869320","210299","2236","49401","43596","901","48.39",""
"7","","Overwatch","1843841460","45912000","163632","1652","98075","42740","1064","40.16",""
"8","","Counter-Strike: Global Offensive","1815618000","50542980","348529","2080","130888","42086","1171","35.92",""
"9","","Teamfight Tactics","1755179880","17537520","213768","2862","48458","40685","406","100.08",""
"10","","Special Events","1267859940","4194540","1561858","5125","15030","29389","97","302.26",""
"11","","Hearthstone","1258518540","7812360","109393","379","16294","29172","181","161.09",""
"12","","PUBG: BATTLEGROUNDS","1253300460","54034500","80760","1863","83439","29051","1252","23.19",""
"13","","Minecraft","1024412580","40753140","209184","1577","110794","23746","944","25.14",""
"14","","Path of Exile","935838840","21972060","112232","2968","23273","21693","509","42.59",""
"15","","Tom Clancy's Rainbow Six Siege","725998260","54573360","174279","2486","141668","16828","1265","13.3",""
"16","","Apex Legends","697682640","70379460","54216","3070","139885","16172","1631","9.91",""
"17","","Destiny 2","525863520","30546720","153631","3654","45841","12189","708","17.22",""
"18","","Dead by Daylight","519085020","27320100","36335","1329","49326","12032","633","19",""
"19","","Call of Duty: Black Ops 4","504320160","47125680","126915","3368","89881","11690","1092","10.7",""
"20","","FIFA 19","500691120","13776900","61844","846","35289","11606","319","36.34",""
"21","","Slots","383129880","2898300","43632","123","2236","8881","67","132.19",""
"22","","Magic: The Gathering","357462120","4618380","126961","190","8513","8286","107","77.4",""
"23","","Dota Underlords","351852660","6585480","62860","611","19793","8156","152","53.43",""
"24","","Rocket League","351181920","16425840","186198","715","62063","8140","380","21.38",""
"25","","Talk Shows & Podcasts","326958600","4076340","105859","538","10712","7579","94","80.21",""
"26","","Music","311352660","14867460","41355","475","13219","7217","344","20.94",""
"27","","Auto Chess","311074440","4922760","32844","251","10968","7210","114","63.19",""
"28","","StarCraft II","299968860","3852720","44801","148","6220","6953","89","77.86",""
"29","","Old School RuneScape","261893460","6051720","80330","239","8172","6070","140","43.28",""
"30","","Art","256000080","15740760","13704","586","28320","5934","364","16.26",""
