"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","League of Legends","62128191000","843449520","952308","2945","625380","117894","1600","73.66",""
"2","","Counter-Strike: Global Offensive","31583515080","469414020","1059002","2197","572379","59933","890","67.28",""
"3","","Dota 2","29795158140","231159060","623824","1100","188569","56539","438","128.89",""
"4","","Hearthstone","28441008960","141191940","331248","1220","196072","53969","267","201.44",""
"5","","Overwatch","10737520680","386604720","302141","9741","564462","20375","733","27.77",""
"6","","World of Warcraft","8971799100","289807080","227428","4567","206776","17024","549","30.96",""
"7","","Call of Duty: Black Ops III","7437882180","627301140","167067","4443","955226","14114","1190","11.86",""
"8","","Minecraft","5339306160","279940140","90527","1538","502316","10131","531","19.07",""
"9","","Z1: Battle Royale","5272330980","130367100","84161","882","117639","10004","247","40.44",""
"10","","Talk Shows & Podcasts","4911934800","41492220","321911","283","76952","9320","78","118.38",""
"11","","Destiny","4602292320","507402300","234438","5970","369032","8733","962","9.07",""
"12","","RuneScape","3670928880","53312760","85177","215","48329","6965","101","68.86",""
"13","","World of Tanks","3458900520","85569120","146906","379","85965","6563","162","40.42",""
"14","","StarCraft II","3289762500","38100780","130773","178","29541","6242","72","86.34",""
"15","","Tom Clancy's The Division","3063241980","177774600","159832","5280","324682","5812","337","17.23",""
"16","","Dead by Daylight","3054563580","52980780","79013","548","52152","5796","100","57.65",""
"17","","Creative","2852794920","112244040","69027","466","114631","5413","212","25.42",""
"18","","Dark Souls III","2624932800","114291120","121710","3238","189903","4981","216","22.97",""
"19","","Arma 3","2607869340","63535560","55686","318","52917","4948","120","41.05",""
"20","","Heroes of the Storm","2407909440","64264140","86526","362","72061","4569","121","37.47",""
"21","","Poker","2191321320","25312200","48194","176","14671","4158","48","86.57",""
"22","","Grand Theft Auto V","2134246440","242877420","54948","1557","547927","4049","460","8.79",""
"23","","Street Fighter V","2078798040","24835680","212889","760","38715","3944","47","83.7",""
"24","","Tom Clancy's Rainbow Six Siege","1945812720","159182340","62002","929","278151","3692","302","12.22",""
"25","","FIFA 16","1928338020","81324000","145728","756","198642","3659","154","23.71",""
"26","","SMITE","1924637340","91828140","70542","467","131246","3652","174","20.96",""
"27","","FIFA 17","1719647520","35315400","78113","1142","86069","3263","67","48.69",""
"28","","NBA 2K16","1595571360","122174880","33636","792","203557","3027","231","13.06",""
"29","","Path of Exile","1594612740","43476720","25344","764","31568","3025","82","36.68",""
"30","","Rocket League","1353696180","99996240","82917","640","268504","2568","189","13.54",""
"31","","Magic: The Gathering","1334209740","9612480","42656","56","5332","2531","18","138.8",""
"32","","DayZ","1321788660","40595280","41315","280","36440","2508","77","32.56",""
"33","","Battlefield 1","1211870820","63966300","80858","1548","215838","2299","121","18.95",""
"34","","Super Mario Maker","1164120720","13299060","232989","84","8026","2209","25","87.53",""
"35","","Diablo III","1138567860","58281300","57383","2185","85916","2160","110","19.54",""
"36","","Rust","1093966620","37346940","57838","255","48400","2075","70","29.29",""
"37","","Music","1064163660","18786660","137263","99","30361","2019","35","56.64",""
"38","","Ark: Survival Evolved","1025334180","58006140","51065","539","65661","1945","110","17.68",""
